Date,Open,High,Low,Close,Volume,Currency
2018-11-21,4.88,4.963,4.865,4.938,18929296,EUR
2018-11-22,4.9,4.944,4.873,4.905,11779093,EUR
2018-11-23,4.923,4.962,4.895,4.915,9088941,EUR
2018-11-26,4.961,5.098,4.95,5.085,25978588,EUR
2018-11-27,5.02,5.059,4.855,4.918,40232968,EUR
2018-11-28,4.925,5.01,4.925,4.978,18450528,EUR
2018-11-29,5.03,5.07,4.981,4.99,15200162,EUR
2018-11-30,5.003,5.019,4.947,5.018,20583352,EUR
2018-12-03,5.1,5.16,5.091,5.091,20254910,EUR
2018-12-04,5.056,5.074,4.929,4.929,20301354,EUR
2018-12-05,4.888,4.902,4.81,4.865,19431352,EUR
2018-12-06,4.812,4.836,4.661,4.691,28343752,EUR
2018-12-07,4.721,4.783,4.689,4.691,19752596,EUR
2018-12-10,4.676,4.71,4.565,4.575,21298964,EUR
2018-12-11,4.598,4.623,4.53,4.537,33371522,EUR
2018-12-12,4.52,4.681,4.52,4.65,27556304,EUR
2018-12-13,4.707,4.811,4.666,4.737,25129964,EUR
2018-12-14,4.702,4.724,4.601,4.713,17827140,EUR
2018-12-17,4.705,4.758,4.692,4.706,17927326,EUR
2018-12-18,4.702,4.764,4.671,4.683,23962796,EUR
2018-12-19,4.705,4.784,4.704,4.728,20007152,EUR
2018-12-20,4.65,4.715,4.623,4.654,21874564,EUR
2018-12-21,4.633,4.66,4.534,4.619,45314884,EUR
2018-12-24,4.574,4.599,4.543,4.558,5463592,EUR
2018-12-27,4.6,4.638,4.476,4.545,31739690,EUR
2018-12-28,4.559,4.648,4.55,4.641,18323888,EUR
2018-12-31,4.635,4.663,4.62,4.636,6375185,EUR
2019-01-02,4.574,4.696,4.51,4.663,15428251,EUR
2019-01-03,4.626,4.739,4.626,4.676,16784222,EUR
2019-01-04,4.739,4.878,4.722,4.851,23416428,EUR
2019-01-07,4.883,4.894,4.801,4.833,15309030,EUR
2019-01-08,4.86,4.923,4.835,4.875,16370855,EUR
2019-01-09,4.92,5.027,4.899,4.941,21938548,EUR
2019-01-10,4.908,5.005,4.883,4.984,15954072,EUR
2019-01-11,4.98,5.049,4.944,5.036,19021176,EUR
2019-01-14,4.999,5.016,4.927,4.989,19456388,EUR
2019-01-15,5.013,5.069,4.911,4.989,16045935,EUR
2019-01-16,5.013,5.11,5.0,5.11,22119212,EUR
2019-01-17,5.065,5.11,5.024,5.037,18761806,EUR
2019-01-18,5.089,5.2,5.074,5.2,30153300,EUR
2019-01-21,5.2,5.21,5.156,5.206,8285333,EUR
2019-01-22,5.155,5.178,5.134,5.17,14195226,EUR
2019-01-23,5.158,5.265,5.141,5.227,15679903,EUR
2019-01-24,5.247,5.27,5.145,5.205,19260850,EUR
2019-01-25,5.253,5.309,5.22,5.304,17982548,EUR
2019-01-28,5.275,5.331,5.234,5.245,14761852,EUR
2019-01-29,5.256,5.281,5.211,5.26,13281999,EUR
2019-01-30,5.27,5.299,5.235,5.258,13679641,EUR
2019-01-31,5.284,5.293,5.087,5.17,24376368,EUR
2019-02-01,5.205,5.261,5.062,5.197,23987082,EUR
2019-02-04,5.178,5.222,5.11,5.171,15837719,EUR
2019-02-05,5.183,5.23,5.156,5.223,22469680,EUR
2019-02-06,5.171,5.245,5.164,5.241,17098124,EUR
2019-02-07,5.21,5.235,5.068,5.077,19900996,EUR
2019-02-08,5.07,5.116,5.017,5.058,16812896,EUR
2019-02-11,5.102,5.174,5.089,5.115,12287175,EUR
2019-02-12,5.165,5.209,5.1,5.201,19009192,EUR
2019-02-13,5.189,5.216,5.101,5.101,18849784,EUR
2019-02-14,5.122,5.125,4.99,5.028,19690348,EUR
2019-02-15,5.025,5.218,4.998,5.194,31048860,EUR
2019-02-18,5.208,5.259,5.203,5.227,10808119,EUR
2019-02-19,5.2,5.248,5.128,5.189,13578094,EUR
2019-02-20,5.199,5.251,5.178,5.237,13587458,EUR
2019-02-21,5.245,5.256,5.19,5.224,13553959,EUR
2019-02-22,5.21,5.28,5.204,5.227,13456713,EUR
2019-02-25,5.265,5.289,5.23,5.255,10919299,EUR
2019-02-26,5.228,5.255,5.177,5.249,11307573,EUR
2019-02-27,5.232,5.385,5.226,5.377,23092616,EUR
2019-02-28,5.344,5.492,5.319,5.474,23933394,EUR
2019-03-01,5.496,5.51,5.379,5.379,20431976,EUR
2019-03-04,5.422,5.45,5.321,5.336,15310630,EUR
2019-03-05,5.338,5.39,5.245,5.307,22120516,EUR
2019-03-06,5.3,5.426,5.29,5.372,15183628,EUR
2019-03-07,5.388,5.437,5.172,5.219,26441152,EUR
2019-03-08,5.165,5.19,5.093,5.136,18744126,EUR
2019-03-11,5.172,5.225,5.13,5.201,12869369,EUR
2019-03-12,5.233,5.246,5.15,5.181,14310635,EUR
2019-03-13,5.191,5.299,5.18,5.275,19224820,EUR
2019-03-14,5.275,5.342,5.264,5.282,14893773,EUR
2019-03-15,5.299,5.382,5.27,5.373,44035248,EUR
2019-03-18,5.397,5.472,5.39,5.421,14839483,EUR
2019-03-19,5.439,5.55,5.412,5.485,17396256,EUR
2019-03-20,5.47,5.49,5.418,5.419,15967143,EUR
2019-03-21,5.388,5.408,5.341,5.372,16570932,EUR
2019-03-22,5.406,5.411,5.163,5.188,25639080,EUR
2019-03-25,5.163,5.264,5.119,5.2,17721828,EUR
2019-03-26,5.213,5.228,5.127,5.143,16782278,EUR
2019-03-27,5.165,5.284,5.093,5.116,28280728,EUR
2019-03-28,5.07,5.094,5.005,5.047,21807880,EUR
2019-03-29,5.096,5.123,5.051,5.093,22459176,EUR
2019-04-01,5.197,5.337,5.156,5.306,31483402,EUR
2019-04-02,5.31,5.381,5.282,5.328,20883406,EUR
2019-04-03,5.407,5.446,5.386,5.413,20599888,EUR
2019-04-04,5.406,5.507,5.382,5.498,22000180,EUR
2019-04-05,5.501,5.535,5.481,5.495,22152108,EUR
2019-04-08,5.34,5.372,5.308,5.333,13305491,EUR
2019-04-09,5.319,5.415,5.316,5.346,14641172,EUR
2019-04-10,5.363,5.382,5.268,5.294,14770610,EUR
2019-04-11,5.318,5.409,5.27,5.37,16796608,EUR
2019-04-12,5.368,5.522,5.325,5.512,25893516,EUR
2019-04-15,5.51,5.568,5.425,5.481,18838636,EUR
2019-04-16,5.494,5.546,5.453,5.526,13372879,EUR
2019-04-17,5.546,5.679,5.525,5.599,21251866,EUR
2019-04-18,5.62,5.633,5.505,5.594,25782920,EUR
2019-04-23,5.577,5.589,5.446,5.476,21168372,EUR
2019-04-24,5.45,5.504,5.362,5.409,17824908,EUR
2019-04-25,5.415,5.422,5.324,5.364,16896232,EUR
2019-04-26,5.375,5.391,5.303,5.377,17165494,EUR
2019-04-29,5.396,5.434,5.354,5.415,13331841,EUR
2019-04-30,5.385,5.418,5.303,5.418,19210148,EUR
2019-05-02,5.41,5.469,5.342,5.349,17100552,EUR
2019-05-03,5.374,5.407,5.286,5.336,12545236,EUR
2019-05-06,5.23,5.298,5.206,5.279,15013623,EUR
2019-05-07,5.256,5.265,5.141,5.144,23495650,EUR
2019-05-08,5.155,5.2,5.105,5.2,18161310,EUR
2019-05-09,5.128,5.173,5.065,5.094,19139908,EUR
2019-05-10,5.138,5.158,5.04,5.078,13736552,EUR
2019-05-13,5.084,5.093,4.966,4.982,17578296,EUR
2019-05-14,5.023,5.083,5.001,5.083,17205466,EUR
2019-05-15,5.064,5.117,5.008,5.091,17458584,EUR
2019-05-16,5.076,5.192,5.045,5.192,17279560,EUR
2019-05-17,5.15,5.179,5.09,5.152,22666618,EUR
2019-05-20,5.13,5.207,5.053,5.074,19550936,EUR
2019-05-21,5.108,5.148,5.071,5.117,13675427,EUR
2019-05-22,5.115,5.14,5.0,5.026,19370600,EUR
